Iteration #,Avg,Min,Avg_Min_Mean
0,0.033753663127660954,0.0,0.016876831563830477
1,0.18968267748288656,0.0,0.09484133874144328
2,0.31415810648559434,0.0,0.15707905324279717
3,0.47147379263079364,0.0,0.23573689631539682
5,0.5903342406841052,0.0,0.2951671203420526
16,0.6705331991547439,0.0,0.3352665995773719
17,0.6747356352751765,0.0,0.3373678176375883
18,0.7743688441070653,0.5793991416309013,0.6768839928689834
26,0.7948816786697408,0.6005221932114883,0.6977019359406145
37,0.8286597458295303,0.6694386694386695,0.7490492076340999
41,0.8402115276781924,0.6922677737415672,0.7662396507098799
50,0.8431062022729344,0.6922677737415672,0.7676869880072508
75,0.8578980521079418,0.7286417935797996,0.7932699228438707
